75,16,0,1,2
42.86,52.38,51.79,42.86,68.97,77.78,14.81,33.33,04.78,04.53,00.00,04.76,05.36,07.14,65.63,71.43,0
42.50,32.14,37.50,39.29,66.67,54.55,28.00,17.65,04.50,05.00,02.50,00.00,00.00,00.00,83.33,75.00,0
46.67,44.44,40.00,44.44,66.67,75.00,33.33,20.00,05.33,05.25,06.67,11.11,06.67,00.00,76.92,94.44,0
60.87,55.56,69.57,44.44,68.75,87.50,42.86,30.00,03.17,04.00,13.04,05.56,04.35,02.78,77.26,70.97,1
62.16,34.78,51.35,47.83,84.21,72.73,38.89,00.00,05.00,03.18,00.00,08.70,05.41,04.35,85.53,60.83,0
41.18,00.00,52.94,25.00,72.22,00.00,06.25,00.00,05.50,04.22,02.94,00.00,02.94,08.33,58.40,40.28,2
66.67,55.56,83.33,44.44,70.00,50.00,50.00,60.00,04.00,11.00,08.33,00.00,00.00,00.00,70.83,99.99,2
55.17,41.56,65.52,49.35,78.95,63.16,10.00,20.51,05.89,05.60,13.79,03.90,03.45,03.90,73.02,82.69,0
50.00,54.84,56.25,45.16,66.67,82.14,28.57,32.35,03.78,03.18,00.00,01.61,06.25,12.90,58.02,58.54,0
64.71,54.17,64.71,37.50,81.82,88.89,33.33,33.33,03.67,04.11,00.00,00.00,05.88,04.17,86.36,76.85,0
41.18,63.01,41.18,56.16,57.14,90.24,30.00,28.13,04.71,04.13,05.88,06.85,00.00,02.74,81.82,65.43,0
19.05,41.67,42.86,45.00,33.33,62.96,08.33,24.24,04.22,04.13,00.00,05.00,00.00,08.33,91.18,67.26,0
29.63,33.96,48.15,43.40,53.85,69.57,07.14,06.67,05.67,04.46,07.41,03.77,03.70,11.32,73.21,78.76,0
31.43,37.50,37.14,43.75,76.92,71.43,04.55,11.11,05.35,03.50,02.86,00.00,02.86,25.00,88.33,88.89,0
23.68,15.79,28.95,26.32,63.64,40.00,07.41,07.14,04.29,05.46,02.63,00.00,05.25,05.26,67.68,80.56,0
