51.43,50.79,55.71,49.21,74.36,77.42,22.58,25,5.8,3.95,1.43,4.76,4.29,6.35,68.18,54.91,25,21.1,70,63,27.14,26.98,57.89,76.47,1.455,1.538,44.29,49.21,45.16,38.71,55,46.67,1.143,1.286,2,1
55.88,38.78,52.94,38.78,77.78,78.95,31.25,13.33,4.05,3.36,0,6.12,8.82,22.45,62.26,57.98,23,17.1,68,49,23.53,24.49,68.75,66.67,1.818,1.375,57.35,48.98,51.28,37.5,53.85,15.38,1.167,1.364,3,1
50.94,37.5,52.83,50,75,64.29,24,10.71,6.05,4.48,7.55,5.36,1.89,3.57,68.14,70.3,22.4,24.5,53,56,39.62,26.79,52.38,46.67,1.727,1.286,37.74,44.64,60,48,33.33,12.5,2.375,1.5,1,1
49.44,43.08,60.67,41.54,75.93,85.19,8.57,13.16,5.03,3.81,10.11,7.69,4.49,6.15,66.61,71.32,21.4,22.1,89,65,20.22,26.15,66.67,58.82,2.25,1.9,50.56,50.77,57.78,45.45,23.08,20,1.65,1.5,4,1
39.13,68.18,43.48,63.64,65,85.71,19.23,37.5,4.45,3.87,1.09,15.15,4.35,7.58,72.45,61.79,19.4,20.4,92,66,35.87,30.30,54.55,80,1.389,1.438,36.96,51.52,41.18,67.65,16,50,1.278,1.833,2,0
